cycle_no,project,id,xp,proj_hours,proj_comp,proj_qual,lrn_supp,cult_cont,team_play,health_culture,health_team_play,health_technical,challenge,project_contrib,expected_contrib,contrib_gap,est_accuracy,est_bias
10,belligerent-whale,45a99283,32.2,46.0,96.87,94.93,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,83.33,6.0,38.33,54.76,-16.43,92.0,-8.0
12,berserk-macaw,eaf4b011,10.64,17.0,97.0,90.2,MISSING DATA,MISSING DATA,MISSING DATA,44.44,33.33,33.33,7.0,10.75,17.17,-6.42,94.33,5.67
12,berserk-macaw,4d838f6e,28.46,30.0,97.0,90.2,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,94.44,8.0,28.75,30.3,-1.55,95.0,-5.0
12,berserk-macaw,e76412aa,33.41,33.0,97.0,90.2,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,8.0,33.75,33.33,0.42,95.0,-5.0
12,berserk-macaw,85eb0e18,26.48,19.0,97.0,90.2,MISSING DATA,MISSING DATA,MISSING DATA,97.92,97.92,91.67,7.0,26.75,19.19,7.56,98.33,1.67
10,berserk-skimmer,4a6f36f6,24.12,29.0,64.56,83.89,MISSING DATA,MISSING DATA,MISSING DATA,83.33,88.89,83.33,8.5,22.75,27.36,-4.61,97.0,3.0
10,berserk-skimmer,adda47cf,33.13,37.0,64.56,83.89,MISSING DATA,MISSING DATA,MISSING DATA,94.44,88.89,83.33,7.0,31.25,34.91,-3.66,95.67,-4.33
10,berserk-skimmer,cbcff678,27.03,35.0,64.56,83.89,MISSING DATA,MISSING DATA,MISSING DATA,100.0,94.44,83.33,8.0,25.5,33.02,-7.52,92.67,-7.33
10,berserk-skimmer,75dbe257,21.73,5.0,64.56,83.89,MISSING DATA,MISSING DATA,MISSING DATA,91.67,91.67,93.75,4.0,20.5,4.72,15.78,99.33,-0.67
12,bland-macaw,198449da,25.83,31.0,99.47,95.0,MISSING DATA,MISSING DATA,MISSING DATA,72.22,50.0,55.56,6.0,20.5,24.6,-4.1,96.67,3.33
12,bland-macaw,29f423c4,34.65,30.0,99.47,95.0,MISSING DATA,MISSING DATA,MISSING DATA,88.1,83.33,97.62,4.0,27.5,23.81,3.69,90.0,10.0
12,bland-macaw,ea4646be,26.78,35.0,99.47,95.0,MISSING DATA,MISSING DATA,MISSING DATA,77.78,83.33,44.44,7.0,21.25,27.78,-6.53,96.33,3.67
12,bland-macaw,94b1cd36,38.74,30.0,99.47,95.0,MISSING DATA,MISSING DATA,MISSING DATA,94.44,94.44,100.0,6.0,30.75,23.81,6.94,96.33,-3.67
2,cagey-lapwing,29f423c4,50.86,40.0,58.11,74.72,83.33,95.83,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,29.4,23.12,6.28,97.0,-3.0
2,cagey-lapwing,936e3168,35.29,40.0,58.11,74.72,72.22,88.89,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,20.4,23.12,-2.72,94.25,5.75
2,cagey-lapwing,cbcff678,20.76,40.0,58.11,74.72,62.5,95.83,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,12.0,23.12,-11.12,87.5,-12.5
2,cagey-lapwing,dcf14075,31.83,13.0,58.11,74.72,95.0,86.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,18.4,7.51,10.89,98.0,2.0
2,cagey-lapwing,b6aa9c94,34.25,40.0,58.11,74.72,79.17,79.17,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,19.8,23.12,-3.32,85.25,-14.75
4,callous-kookaburra,f7ba1065,18.26,29.0,77.88,81.5,83.33,91.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,24.67,39.19,-14.52,95.0,5.0
4,callous-kookaburra,070b3063,33.54,7.0,77.88,81.5,100.0,88.89,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,45.33,9.46,35.87,78.0,22.0
4,callous-kookaburra,4a6f36f6,22.2,38.0,77.88,81.5,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,30.0,51.35,-21.35,98.5,1.5
12,caring-lemming,8e44efb9,27.54,31.0,93.92,95.42,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,94.44,8.0,27.0,30.39,-3.39,100.0,0.0
12,caring-lemming,90945a45,31.37,30.0,93.92,95.42,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,30.75,29.41,1.34,99.0,-1.0
12,caring-lemming,85eb0e18,12.24,3.0,93.92,95.42,MISSING DATA,MISSING DATA,MISSING DATA,97.92,97.92,91.67,6.0,12.0,2.94,9.06,93.33,-6.67
12,caring-lemming,45550069,30.86,38.0,93.92,95.42,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,30.25,37.25,-7.0,99.67,-0.33
6,clammy-tayra,dcf14075,21.66,7.0,98.67,92.22,97.62,90.48,92.86,MISSING DATA,MISSING DATA,MISSING DATA,,32.33,10.45,21.88,81.5,-18.5
6,clammy-tayra,85eb0e18,23.0,30.0,98.67,92.22,91.67,100.0,91.67,MISSING DATA,MISSING DATA,MISSING DATA,,34.33,44.78,-10.45,95.0,-5.0
6,clammy-tayra,b6aa9c94,22.33,30.0,98.67,92.22,83.33,91.67,83.33,MISSING DATA,MISSING DATA,MISSING DATA,,33.33,44.78,-11.45,98.0,-2.0
9,cloudy-coot,adda47cf,20.47,38.0,99.29,87.14,75.0,91.67,91.67,83.33,91.67,66.67,7.0,29.67,55.07,-25.4,93.5,6.5
9,cloudy-coot,90945a45,16.1,25.0,99.29,87.14,66.67,83.33,83.33,75.0,66.67,75.0,7.0,23.33,36.23,-12.9,87.5,-12.5
9,cloudy-coot,75dbe257,32.43,6.0,99.29,87.14,97.22,91.67,91.67,94.44,94.44,97.22,4.0,47.0,8.7,38.3,97.0,-3.0
2,clumsy-quail,45a99283,28.21,40.0,51.47,69.63,75.0,91.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,30.33,43.01,-12.68,99.5,-0.5
2,clumsy-quail,4a6f36f6,29.76,40.0,51.47,69.63,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,32.0,43.01,-11.01,94.0,6.0
2,clumsy-quail,dcf14075,35.03,13.0,51.47,69.63,95.0,86.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,37.67,13.98,23.69,89.0,11.0
3,cluttered-partridge,690c133a,22.5,40.0,86.83,85.06,75.0,75.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,25.0,44.44,-19.44,92.5,7.5
3,cluttered-partridge,adda47cf,25.5,40.0,86.83,85.06,83.33,83.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,28.33,44.44,-16.11,97.5,2.5
3,cluttered-partridge,75dbe257,42.0,10.0,86.83,85.06,93.33,96.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,46.67,11.11,35.56,80.0,20.0
8,comfortable-buffalo,75dbe257,22.87,7.0,100.0,95.5,100.0,96.67,96.67,MISSING DATA,MISSING DATA,MISSING DATA,4.0,31.33,9.59,21.74,96.0,4.0
8,comfortable-buffalo,90945a45,21.41,28.0,100.0,95.5,83.33,91.67,91.67,MISSING DATA,MISSING DATA,MISSING DATA,8.0,29.33,38.36,-9.03,99.0,1.0
8,comfortable-buffalo,29f423c4,28.71,38.0,100.0,95.5,91.67,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,6.0,39.33,52.05,-12.72,91.5,8.5
11,condescending-aardwolf,0af92c55,12.83,24.0,99.46,94.54,MISSING DATA,MISSING DATA,MISSING DATA,66.67,75.0,91.67,7.0,23.33,43.64,-20.31,97.5,2.5
11,condescending-aardwolf,b6aa9c94,18.33,10.0,99.46,94.54,MISSING DATA,MISSING DATA,MISSING DATA,79.17,79.17,75.0,6.0,33.33,18.18,15.15,97.5,2.5
11,condescending-aardwolf,cbcff678,23.83,21.0,99.46,94.54,MISSING DATA,MISSING DATA,MISSING DATA,91.67,75.0,75.0,5.0,43.33,38.18,5.15,90.0,10.0
3,dazzling-white-eye,f7ba1065,11.07,40.0,91.58,82.32,83.33,83.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,20.5,74.07,-53.57,99.0,1.0
3,dazzling-white-eye,75dbe257,42.93,14.0,91.58,82.32,93.33,96.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,79.5,25.93,53.57,99.0,1.0
8,deeply-jackal,4a6f36f6,23.28,33.0,96.0,91.6,83.33,100.0,94.44,MISSING DATA,MISSING DATA,MISSING DATA,6.0,24.0,34.02,-10.02,98.67,1.33
8,deeply-jackal,dcf14075,30.8,5.0,96.0,91.6,96.67,93.33,90.0,MISSING DATA,MISSING DATA,MISSING DATA,2.0,31.75,5.15,26.6,95.67,4.33
8,deeply-jackal,45664623,24.98,32.0,96.0,91.6,88.89,72.22,66.67,MISSING DATA,MISSING DATA,MISSING DATA,6.0,25.75,32.99,-7.24,97.0,3.0
8,deeply-jackal,f7ba1065,17.95,27.0,96.0,91.6,55.56,66.67,55.56,MISSING DATA,MISSING DATA,MISSING DATA,7.0,18.5,27.84,-9.34,99.33,-0.67
1,depraved-malleefowl,29f423c4,27.6,40.0,92.89,86.84,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,30.67,44.44,-13.77,96.5,3.5
1,depraved-malleefowl,dcf14075,37.5,10.0,92.89,86.84,97.62,95.24,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,41.67,11.11,30.56,72.5,27.5
1,depraved-malleefowl,9ae522cc,24.9,40.0,92.89,86.84,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,27.67,44.44,-16.77,96.5,3.5
5,different-boubou,45a99283,9.34,40.0,99.17,96.33,83.33,100.0,91.67,MISSING DATA,MISSING DATA,MISSING DATA,,11.67,50.0,-38.33,95.0,5.0
5,different-boubou,dcf14075,65.34,20.0,99.17,96.33,100.0,87.5,91.67,MISSING DATA,MISSING DATA,MISSING DATA,,81.67,25.0,56.67,95.0,5.0
5,different-boubou,29f423c4,5.34,20.0,99.17,96.33,66.67,58.33,50.0,MISSING DATA,MISSING DATA,MISSING DATA,,6.67,25.0,-18.33,97.5,-2.5
1,disgusted-oribi,89ffaeb3,25.5,40.0,82.11,83.95,91.67,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,28.33,44.44,-16.11,87.5,-12.5
1,disgusted-oribi,dcf14075,37.5,10.0,82.11,83.95,97.62,95.24,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,41.67,11.11,30.56,72.5,27.5
1,disgusted-oribi,85eb0e18,27.0,40.0,82.11,83.95,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,30.0,44.44,-14.44,85.0,15.0
11,distraught-sambar,164d773b,32.15,35.0,100.0,95.19,MISSING DATA,MISSING DATA,MISSING DATA,83.33,75.0,66.67,9.0,30.33,33.02,-2.69,96.5,-3.5
11,distraught-sambar,50b78c66,35.33,38.0,100.0,95.19,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,75.0,8.0,33.33,35.85,-2.52,96.0,4.0
11,distraught-sambar,4a6f36f6,38.51,33.0,100.0,95.19,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,83.33,7.0,36.33,31.13,5.2,98.0,-2.0
4,domineering-gulls,396fad2d,20.16,33.0,83.25,85.5,91.67,91.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,28.0,45.83,-17.83,98.5,-1.5
4,domineering-gulls,85eb0e18,19.2,32.0,83.25,85.5,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,26.67,44.44,-17.77,97.5,-2.5
4,domineering-gulls,070b3063,32.64,7.0,83.25,85.5,100.0,88.89,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,45.33,9.72,35.61,99.0,1.0
9,dull-mongoose,9ae522cc,23.38,24.0,94.14,95.57,83.33,91.67,91.67,91.67,83.33,75.0,6.0,38.33,39.34,-1.01,92.0,-8.0
9,dull-mongoose,dcf14075,15.45,5.0,94.14,95.57,92.59,79.63,87.04,81.48,83.33,98.15,1.0,25.33,8.2,17.13,77.0,-23.0
9,dull-mongoose,4a6f36f6,22.16,32.0,94.14,95.57,75.0,91.67,83.33,91.67,83.33,83.33,7.0,36.33,52.46,-16.13,95.0,-5.0
7,earsplitting-glider,75dbe257,27.86,8.0,74.0,81.0,93.33,91.67,90.0,MISSING DATA,MISSING DATA,MISSING DATA,,45.67,13.11,32.56,87.0,-13.0
7,earsplitting-glider,f7ba1065,14.03,23.0,74.0,81.0,41.67,50.0,41.67,MISSING DATA,MISSING DATA,MISSING DATA,,23.0,37.7,-14.7,98.5,1.5
7,earsplitting-glider,90945a45,19.11,30.0,74.0,81.0,83.33,91.67,83.33,MISSING DATA,MISSING DATA,MISSING DATA,,31.33,49.18,-17.85,90.5,-9.5
4,earsplitting-waterbuck,936e3168,21.47,35.0,90.71,89.29,75.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,30.67,50.0,-19.33,95.0,5.0
4,earsplitting-waterbuck,dcf14075,28.47,5.0,90.71,89.29,94.44,88.89,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,40.67,7.14,33.53,86.0,14.0
4,earsplitting-waterbuck,9ae522cc,20.07,30.0,90.71,89.29,75.0,83.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,28.67,42.86,-14.19,99.0,-1.0
1,efficacious-grenadier,a4b6116a,28.35,40.0,89.28,90.0,83.33,83.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,31.5,44.44,-12.94,MISSING DATA,MISSING DATA
1,efficacious-grenadier,dcf14075,33.3,10.0,89.28,90.0,97.62,95.24,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,37.0,11.11,25.89,94.0,6.0
1,efficacious-grenadier,b6aa9c94,28.35,40.0,89.28,90.0,50.0,50.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,31.5,44.44,-12.94,97.0,3.0
6,elastic-hedgehog,cbcff678,24.99,30.0,98.75,95.83,66.67,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,,24.5,29.41,-4.91,98.0,-2.0
6,elastic-hedgehog,75dbe257,29.33,12.0,98.75,95.83,100.0,98.15,100.0,MISSING DATA,MISSING DATA,MISSING DATA,,28.75,11.76,16.99,90.33,9.67
6,elastic-hedgehog,9ae522cc,25.76,30.0,98.75,95.83,66.67,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,,25.25,29.41,-4.16,99.0,1.0
6,elastic-hedgehog,90945a45,21.93,30.0,98.75,95.83,44.44,61.11,66.67,MISSING DATA,MISSING DATA,MISSING DATA,,21.5,29.41,-7.91,98.0,2.0
12,enchanted-gerenuk,45664623,33.13,34.0,99.64,96.95,MISSING DATA,MISSING DATA,MISSING DATA,88.89,77.78,83.33,7.0,26.5,27.2,-0.7,99.33,-0.67
12,enchanted-gerenuk,f2d70fa5,35.63,30.0,99.64,96.95,MISSING DATA,MISSING DATA,MISSING DATA,88.89,88.89,88.89,4.0,28.5,24.0,4.5,95.33,-4.67
12,enchanted-gerenuk,53bcb2df,29.69,32.0,99.64,96.95,MISSING DATA,MISSING DATA,MISSING DATA,83.33,94.44,77.78,7.0,23.75,25.6,-1.85,95.0,-5.0
12,enchanted-gerenuk,eb678107,26.56,29.0,99.64,96.95,MISSING DATA,MISSING DATA,MISSING DATA,88.89,83.33,72.22,7.0,21.25,23.2,-1.95,96.33,3.67
5,enthusiastic-hawk,adda47cf,18.98,25.0,88.6,87.0,58.33,75.0,25.0,MISSING DATA,MISSING DATA,MISSING DATA,,22.33,29.41,-7.08,99.0,1.0
5,enthusiastic-hawk,4a6f36f6,30.03,33.0,88.6,87.0,83.33,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,,35.33,38.82,-3.49,96.0,4.0
5,enthusiastic-hawk,070b3063,35.98,27.0,88.6,87.0,79.17,75.0,70.83,MISSING DATA,MISSING DATA,MISSING DATA,,42.33,31.76,10.57,89.0,-11.0
12,extensive-dog,110df682,29.12,40.0,98.0,94.87,MISSING DATA,MISSING DATA,MISSING DATA,91.67,91.67,66.67,10.0,26.0,35.71,-9.71,94.0,6.0
12,extensive-dog,b6aa9c94,39.57,40.0,98.0,94.87,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,91.67,5.0,35.33,35.71,-0.38,97.5,2.5
12,extensive-dog,9b34a8d3,43.31,32.0,98.0,94.87,MISSING DATA,MISSING DATA,MISSING DATA,91.67,83.33,100.0,8.0,38.67,28.57,10.1,95.0,5.0
12,extensive-gazer,4d87f1c5,29.75,30.0,93.12,96.47,MISSING DATA,MISSING DATA,MISSING DATA,61.11,55.56,61.11,6.0,25.0,25.21,-0.21,94.67,5.33
12,extensive-gazer,adda47cf,36.0,28.0,93.12,96.47,MISSING DATA,MISSING DATA,MISSING DATA,94.44,94.44,88.89,7.0,30.25,23.53,6.72,97.0,-3.0
12,extensive-gazer,cbcff678,34.21,31.0,93.12,96.47,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,28.75,26.05,2.7,98.33,1.67
12,extensive-gazer,085c56bc,19.04,30.0,93.12,96.47,MISSING DATA,MISSING DATA,MISSING DATA,88.89,94.44,55.56,8.5,16.0,25.21,-9.21,93.33,6.67
6,first-paradoxure,396fad2d,22.8,32.0,96.82,87.55,83.33,83.33,91.67,MISSING DATA,MISSING DATA,MISSING DATA,,31.67,44.44,-12.77,94.5,-5.5
6,first-paradoxure,4a6f36f6,21.84,33.0,96.82,87.55,91.67,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,,30.33,45.83,-15.5,89.0,-11.0
6,first-paradoxure,dcf14075,27.36,7.0,96.82,87.55,97.62,90.48,92.86,MISSING DATA,MISSING DATA,MISSING DATA,,38.0,9.72,28.28,73.0,-27.0
12,five-lapwing,4a6f36f6,30.24,32.0,99.35,98.19,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,66.67,7.0,42.0,44.44,-2.44,91.0,-9.0
12,five-lapwing,50b78c66,19.2,25.0,99.35,98.19,MISSING DATA,MISSING DATA,MISSING DATA,66.67,58.33,50.0,7.0,26.67,34.72,-8.05,90.0,-10.0
12,five-lapwing,45a99283,22.56,15.0,99.35,98.19,MISSING DATA,MISSING DATA,MISSING DATA,25.0,33.33,100.0,5.0,31.33,20.83,10.5,68.0,-32.0
5,forgetful-tamandua,4d87f1c5,18.17,34.0,89.17,81.33,50.0,50.0,58.33,MISSING DATA,MISSING DATA,MISSING DATA,,26.33,49.28,-22.95,96.0,4.0
5,forgetful-tamandua,90945a45,27.83,30.0,89.17,81.33,66.67,66.67,50.0,MISSING DATA,MISSING DATA,MISSING DATA,,40.33,43.48,-3.15,89.0,-11.0
5,forgetful-tamandua,dcf14075,23.0,5.0,89.17,81.33,100.0,87.5,91.67,MISSING DATA,MISSING DATA,MISSING DATA,,33.33,7.25,26.08,87.5,-12.5
12,frantic-phascogale,66930ba2,31.97,32.0,98.86,95.09,MISSING DATA,MISSING DATA,MISSING DATA,91.67,100.0,100.0,6.8,46.67,46.72,-0.05,98.0,2.0
12,frantic-phascogale,85eb0e18,10.28,6.0,98.86,95.09,MISSING DATA,MISSING DATA,MISSING DATA,97.92,97.92,91.67,6.0,15.0,8.76,6.24,80.5,19.5
12,frantic-phascogale,717e2737,26.26,30.5,98.86,95.09,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,91.67,7.0,38.33,44.53,-6.2,98.0,-2.0
11,freezing-sunbird,ea4646be,13.4,28.0,99.06,96.5,MISSING DATA,MISSING DATA,MISSING DATA,87.5,91.67,54.17,7.0,11.2,23.41,-12.21,90.25,9.75
11,freezing-sunbird,4d838f6e,22.96,26.0,99.06,96.5,MISSING DATA,MISSING DATA,MISSING DATA,100.0,95.83,95.83,7.0,19.2,21.74,-2.54,99.0,1.0
11,freezing-sunbird,45a99283,31.81,20.0,99.06,96.5,MISSING DATA,MISSING DATA,MISSING DATA,91.67,91.67,100.0,6.0,26.6,16.72,9.88,95.75,4.25
11,freezing-sunbird,94b1cd36,24.88,20.0,99.06,96.5,MISSING DATA,MISSING DATA,MISSING DATA,91.67,95.83,100.0,7.0,20.8,16.72,4.08,97.75,-2.25
11,freezing-sunbird,66930ba2,26.55,25.6,99.06,96.5,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,22.2,21.4,0.8,98.5,-1.5
2,giant-viper,9ae522cc,37.67,40.0,68.22,79.44,91.67,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,37.67,40.0,-2.33,96.0,-4.0
2,giant-viper,45664623,37.33,40.0,68.22,79.44,91.67,91.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,37.33,40.0,-2.67,93.0,7.0
2,giant-viper,070b3063,25.0,20.0,68.22,79.44,41.67,37.5,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,25.0,20.0,5.0,92.5,7.5
6,glorious-potoroo,dcf14075,13.8,9.0,97.75,95.5,97.62,90.48,92.86,MISSING DATA,MISSING DATA,MISSING DATA,,30.0,19.57,10.43,90.0,-10.0
6,glorious-potoroo,936e3168,32.2,37.0,97.75,95.5,66.67,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,,70.0,80.43,-10.43,90.0,-10.0
11,gorgeous-crab,b7faca92,21.46,22.0,99.06,98.0,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,100.0,7.0,52.33,53.66,-1.33,96.5,-3.5
11,gorgeous-crab,936e3168,9.98,10.0,99.06,98.0,MISSING DATA,MISSING DATA,MISSING DATA,95.83,95.83,91.67,6.0,24.33,24.39,-0.06,86.0,-14.0
11,gorgeous-crab,b6aa9c94,9.57,9.0,99.06,98.0,MISSING DATA,MISSING DATA,MISSING DATA,79.17,79.17,75.0,5.0,23.33,21.95,1.38,90.0,10.0
12,heavenly-osprey,af162939,19.8,32.0,99.69,95.63,MISSING DATA,MISSING DATA,MISSING DATA,91.67,91.67,41.67,10.0,20.0,32.32,-12.32,100.0,0.0
12,heavenly-osprey,936e3168,57.75,32.0,99.69,95.63,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,100.0,7.0,58.33,32.32,26.01,95.0,-5.0
12,heavenly-osprey,0af92c55,21.45,35.0,99.69,95.63,MISSING DATA,MISSING DATA,MISSING DATA,83.33,83.33,83.33,8.0,21.67,35.35,-13.68,97.5,-2.5
1,hideous-tinamou,45664623,33.48,40.0,95.83,95.0,83.33,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,36.0,43.01,-7.01,94.0,6.0
1,hideous-tinamou,45a99283,33.48,40.0,95.83,95.0,83.33,75.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,36.0,43.01,-7.01,MISSING DATA,MISSING DATA
1,hideous-tinamou,75dbe257,26.04,13.0,95.83,95.0,97.22,94.44,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,28.0,13.98,14.02,88.0,12.0
1,humorous-tortoise,adda47cf,25.42,40.0,93.82,86.47,91.67,91.67,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,27.33,43.01,-15.68,96.5,-3.5
1,humorous-tortoise,75dbe257,41.85,13.0,93.82,86.47,97.22,94.44,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,45.0,13.98,31.02,92.5,7.5
1,humorous-tortoise,690c133a,25.73,40.0,93.82,86.47,83.33,83.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,,27.67,43.01,-15.34,87.5,12.5
