id,xp,avg_cycle_hours,avg_proj_comp,avg_proj_qual,lrn_supp,cult_cont,team_play,health_culture,health_team_play,health_technical,est_accuracy,est_bias,no_proj_rvws,elo
396fad2d,54.25,39.33,76.55,83.08,79.17,85.65,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,96.83,3.17,21,1015
690c133a,46.01,40.0,80.29,82.25,70.83,77.78,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,93.0,6.33,21,964
dcf14075,234.91,37.33,76.03,81.91,97.28,91.96,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,84.94,10.99,21,1263
f7ba1065,37.58,40.0,81.38,83.02,75.0,76.39,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,95.67,-1.33,19,957
85eb0e18,51.69,36.67,72.83,81.32,76.85,88.89,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,92.03,4.19,21,1036
29f423c4,84.08,40.67,83.49,86.08,88.89,96.76,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,96.94,-0.72,21,1056
936e3168,70.14,40.0,80.09,83.88,86.11,88.89,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,92.75,7.25,20,1025
cbcff678,42.95,39.33,78.92,82.38,73.61,95.83,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,88.33,-3.33,21,964
b6aa9c94,64.78,38.33,78.22,85.1,68.06,70.83,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,90.58,-0.42,21,1044
45a99283,80.32,41.67,82.26,87.1,84.26,87.04,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,97.75,1.75,19,1036
4a6f36f6,78.55,38.67,81.1,85.95,87.96,100.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,96.5,3.5,20,1048
adda47cf,51.33,40.0,85.4,83.38,77.78,72.22,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,96.33,1.33,19,985
75dbe257,223.78,40.0,88.77,86.02,94.76,95.0,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,91.71,8.0,21,1263
9ae522cc,59.77,38.33,80.63,83.02,83.33,94.44,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,97.0,-0.67,19,1033
89ffaeb3,28.85,40.33,66.56,73.18,75.0,69.44,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,88.0,-8.67,16,938
a4b6116a,22.78,40.0,89.28,90.0,83.33,83.33,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,8,1001
45664623,70.86,40.0,81.61,85.74,86.11,97.22,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,93.5,6.5,19,1029
070b3063,149.77,46.0,76.4,81.09,70.67,70.11,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,87.79,-0.29,18,1151
4d87f1c5,30.2,35.0,67.74,74.51,69.44,81.48,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,98.33,-0.67,18,987
90945a45,66.42,40.0,84.36,85.05,77.78,87.96,MISSING DATA,MISSING DATA,MISSING DATA,MISSING DATA,99.17,-0.83,20,1026
